Receiving Node ID, Transmitting Node ID, RSSI (dBm)
rxID, txID, rssi
6,2,-86
6,4,-56
6,5,-57
6,4,-56
6,0,-81
6,4,-56
6,2,-99
6,5,-57
6,0,-82
6,2,-97
6,4,-56
6,2,-97
6,5,-57
6,0,-80
6,0,-82
6,2,-97
6,2,-97
6,4,-58
6,4,-56
6,2,-97
6,0,-83
6,1,-98
6,0,-82
6,2,-97
6,7,-56
6,4,-56
6,0,-82
6,2,-98
6,5,-56
6,0,-82
6,2,-98
6,2,-98
6,5,-56
6,0,-81
6,1,-98
6,4,-56
6,5,-57
6,0,-77
6,2,-98
6,7,-57
6,5,-57
6,0,-73
6,2,-98
6,2,-97
6,5,-57
6,0,-74
6,2,-98
6,7,-57
6,5,-56
6,2,-97
6,4,-56
6,5,-57
6,4,-56
6,5,-57
6,1,-98
6,0,-74
6,0,-74
6,5,-57
6,2,-98
6,7,-56
6,5,-57
6,0,-73
6,0,-74
6,7,-56
6,0,-75
6,2,-97
6,7,-57
6,5,-57
6,2,-97
6,5,-57
6,5,-56
6,0,-75
6,0,-74
6,5,-56
6,2,-98
6,7,-57
6,0,-74
6,7,-57
6,0,-75
6,2,-98
6,5,-56
6,2,-98
6,5,-56
6,5,-57
6,0,-77
6,0,-76
6,4,-56
6,2,-98
6,7,-57
6,5,-57
6,0,-76
6,0,-76
6,4,-56
6,2,-98
6,5,-57
6,0,-76
6,4,-58
6,7,-57
6,5,-56
6,0,-76
6,5,-57
6,5,-57
6,0,-76
6,4,-56
6,4,-56
6,5,-57
6,0,-76
6,2,-98
6,5,-56
6,0,-75
6,0,-76
6,4,-56
6,2,-88
6,5,-57
6,0,-78
6,4,-57
6,7,-56
6,5,-57
6,0,-74
6,5,-57
6,5,-57
6,0,-75
6,1,-99
6,5,-57
6,0,-75
6,5,-57
6,0,-72
6,4,-56
6,4,-57
6,0,-75
6,2,-100
6,0,-75
6,1,-102
6,7,-57
6,5,-58
6,0,-74
6,5,-58
6,5,-57
6,1,-99
6,5,-57
6,0,-75
6,5,-57
6,0,-74
6,4,-56
6,0,-75
6,5,-57
6,0,-75
6,4,-56
6,0,-75
6,5,-57
6,0,-75
6,5,-58
6,5,-57
6,0,-75
6,5,-58
6,0,-75
6,7,-57
6,5,-58
6,4,-58
6,0,-75
6,5,-57
6,0,-74
6,4,-56
6,0,-75
6,5,-58
6,0,-76
6,7,-57
6,7,-57
6,5,-57
6,0,-74
6,5,-57
6,7,-57
6,0,-75
6,5,-57
6,0,-75
6,2,-97
6,7,-57
6,5,-57
